title,link,episode_no,interviewer,speaker,transcript
"Menschen, Maßnahmen, Mutationen - Skript herunterladen",https://www.ndr.de/nachrichten/info/coronaskript262.pdf,72,Korinna Hennig,Korinna Hennig,"Damit hängt auch unmittelbar der Bereich der Kinderbetreuung zusammen. Der Begriff „Notbetreuung“ wird gar nicht so viel verwendet. Es ist oft in den Kindergärten die Rede von eingeschränktem Regelbetrieb. Nun gibt es zum einen die Menschen, die gar nicht zu Hause bleiben können, was ihre Arbeit angeht. Auch darüber haben wir schon gesprochen. Wo kein Office, da auch kein Homeoffice. Alleinerziehende sind dringend auf die Notbetreuung angewiesen. Aber dennoch, viele Kindergartengruppen sind voll, weil es auch Eltern gibt, die zwar jetzt im Homeoffice sind, aber sagen, ich kann mit Kleinkindern zu Hause gar nicht arbeiten. Sehen Sie da auch noch viel Spielraum? Teilweise kursieren Zahlen, dass 25 Prozent der Kinder immer noch da sind oder sogar noch mehr in ihren Einrichtungen."
"Menschen, Maßnahmen, Mutationen - Skript herunterladen",https://www.ndr.de/nachrichten/info/coronaskript262.pdf,72,Korinna Hennig,Christian Drosten,"Ich glaube, es gibt einfach einen Grundbedarf, gerade bei der Betreuung kleinerer Kinder, den man decken muss. Da kann man nicht ausweichen und sagen, jetzt sind wir absolut radikal. Es ist so, dass auch dann die Infektionsübertragung nicht mehr sehr effizient ist, wenn die Gruppen dann sehr klein sind – diese Restgruppen, das gilt sicherlich im Kitaund Grundschulbereich. An irgendeiner Stelle muss man einfach Kom promisse machen und auch zulassen. Das ist sicher lich einer der Bereiche, wo Kompromisse gemacht werden. Genau wie auch im Arbeitsleben, an Arbeitsstätten da werden auch viele Kompromisse gemacht. Man muss im Moment eher noch nach so Restbeständen suchen, wo man vielleicht noch nachregulieren kann. Es geht nicht darum, jetzt über sehr lange Zeit nachzuregulieren."
"Menschen, Maßnahmen, Mutationen - Skript herunterladen",https://www.ndr.de/nachrichten/info/coronaskript262.pdf,72,Korinna Hennig,Korinna Hennig,"Über sehr lange Zeit ist ein gutes Stichwort. Bei den Eltern, bei den Familien, die sagen, es schmerzt unglaublich, es ist wahnsinnig anstrengend, aber wir können das über einen gewissen Zeitraum leisten, die Kinder aus den Schulen, aus den Kindergärten rausnehmen, für die ist es sehr wichtig, eine Perspektive zu haben. Ich kann da beispielhaft von mir erzählen. Wir haben genau die Situation. Wir haben zwei Schulkinder im Distanzunterricht zu Hause und ein Kindergartenkind, plus zwei Erwachsene im Homeoffice, die dann alle um Endgeräte streiten. Wir Eltern arbeiten in der Küche und im Schlafzimmer. Und zwischendurch heißt es immer: Der Schulserver streikt. Ich habe Hunger. Hilf mir mal beim Einscannen. Man weiß gar nicht, wann man selbst eigentlich essen soll. Diesen Podcast zum Beispiel bereite ich abends vor, weil es nicht anders geht. Ich merke an mir selbst, das geht, das kann man machen. Aber es hilft natürlich, wenn man weiß, wie lange wir ungefähr in dieser Situation sein werden. Bisher waren Maßnahmen oft nach Datum begrenzt. Das war sehr frustrierend für viele. Denn das wurde dann verlängert, weil die Zahlen es nicht hergegeben haben, gleich wieder zu lockern. Macht es denn zum Beispiel Sinn, zu sagen, wir gucken uns einen Inzidenzwert an von so und so viel und sagen, dann haben Schulen und Kindergärten Priorität und können schrittweise wieder öffnen, ab einer bestimmten Zielmarke, auf die ich als Eltern dann hinsteuern kann, mich drauf festlegen kann?"
"Menschen, Maßnahmen, Mutationen - Skript herunterladen",https://www.ndr.de/nachrichten/info/coronaskript262.pdf,72,Korinna Hennig,Christian Drosten,"Das ist sinnvoll, dass man sich auf einen bestimmten Inzidenzwert einigt. Es gibt da Vorstellungen, die zum Teil pragmatisch, zum Teil wissenschaftlich begründet sind. Die pragmatische Begründung war einfach, das ist mal so ein Anhaltswert der Kapazität der Gesundheitsämter. Obwohl manche Gesundheitsämter sagen, so über einen Kamm scheren kann man das alles gar nicht. Es gibt wissenschaftliche Werte oder Berechnungen, die basieren auf Modellrechnungen, die sagen, man muss unter die Kapazität der Gesundheitsämter einfach noch drunter gehen mit einem Sicherheitsabstand. Es gibt auch die Argumentation, man sollte versuchen, das zu schaffen, was auch ein paar andere Länder geschafft haben, eine Null-Inzidenz. Man sollte sich das zum Ziel setzen. Da ist jetzt auch gerade ein Papier von ein paar Wissenschaftlern rausgekommen, die das sehr gut vorgedacht haben, die sich sehr gut auch orientiert haben an diesen Ländern und sich genau angeschaut haben: Ist das vergleichbar? Kann Deutschland das schaffen?"
"Menschen, Maßnahmen, Mutationen - Skript herunterladen",https://www.ndr.de/nachrichten/info/coronaskript262.pdf,72,Korinna Hennig,Korinna Hennig,"Das sind nicht nur Virologen, muss man sagen."
"Menschen, Maßnahmen, Mutationen - Skript herunterladen",https://www.ndr.de/nachrichten/info/coronaskript262.pdf,72,Korinna Hennig,Christian Drosten,"Das sind nicht nur Virologen, genau. Das hat sehr viel Logik in sich. Das hat auch soziologisch interessante Prinzipien in sich, diese Null-Covid-Strategie oder Kein-Covid-Strategie, wie man es auch nennen will. Das basiert nicht nur auf Zahlen. Da geht es jetzt nicht darum, lass uns noch mal wieder eine neue Zahl vornehmen, sondern da geht es vor allem auch darum: Wie kommen wir dahin? Das ist wichtig, das zu betrachten, also nicht immer zu sagen: Okay, wenn wir die Zahl erreicht haben, dann können wir wieder lockern. Sondern ich glaube, die Politik und auch die Bürger sollten stärker über den Weg dahin informiert werden und was das alles für Effekte sind. Ich will mal eine Grundüberlegung nennen, ohne jetzt hoffentlich hier von Ihrer Frage allzu sehr abzuschweifen. Aber man sieht manchmal in Talkshows, da sitzt einer, der sagt: Ja, die 50 auf 100.000, das ist doch bewährt. Dann sitzt da der andere, der sagt: Wir brauchen aber 25 auf 100.000. Und dann geht der Streit los. Wenn man aber sich mit der Dynamik dieses Infektionsgeschehens befasst – das haben wir auch hier im Podcast schon wiederholt gesagt – es gibt einen exponentiellen Anstieg. Aber genauso gibt es natürlich dann durch die Interventionsmaßnahmen einen exponentiellen Abfall. Das bedeutet, wir sprechen eigentlich von so etwas wie einer Halbwertszeit. Im Anstieg gibt es diesen Begriff der Verdopplungszeit, und im Abfall gibt es dann eben auch den Begriff der Halbwertszeit. Also die Zeit, die vergeht, bis sich die Zahl der aktuell Infizierten halbiert hat oder auch, wenn Sie wollen, der im Zeitraum neu Infizierten halbiert hat, also die Inzidenz. Und jetzt ist der Unterschied zwischen 50 und 25 auf 100.000 letztendlich nur eine Halbwertszeit. Also man muss nicht sich streiten, was jetzt der Zielwert ist, sondern man muss einfach sagen, wenn man bremst und man ist bei 50, dann muss man noch eine Halbwertszeit länger bremsen. Dann ist man von selbst bei 25. Und so geht es weiter. Ich glaube schon allein aus dem Grund wird klar, dass es als Ziel dieser ganzen Interventionsund Lockdown-Maßnahmen und auch als Ziel vielleicht einer Diskussion in Talkshows und in der Gesellschaft vielmehr gilt, sich diesen Bremsvorgang anzuschauen, die Bremskraft. Also nicht die Geschwindigkeit, sondern wie stark wir letztendlich aufs Bremspedal treten und wie man das erreichen kann. Da sind wir dann wieder bei diesen Maßnahmen. FAUSTFORMEL R-WERT Schulen, Arbeitsstätten und auch sozial schwer zu erreichenden Gesellschaftsgruppen, die man vielleicht bisher auch noch nicht so adressiert hat – dass man sich anschaut, wie kriegen wir es hin, möglichst viel Bremskraft aufs Pedal und auf die Bremsklötze zu kriegen. Dann dauert der Bremsvorgang auch kürzer. Die Frage ist natürlich, wie man das beschreibt. Und das beschreibt man letztendlich über den R-Wert. Wir müssen auf den R-Wert schauen. Und da gibt es eine interessante Faustformel, die man sich merken kann. Wenn man hier bei uns einen R-Wert von 0,9 hat, dann dauert das ca. einen Monat, bis sich die Zahl der Infizierten halbiert. Und bei einem R-Wert von 0,7 ist das nur eine Woche. Da ist der Unterschied zwischen dem 50er- und 25-Wert nur eine Woche. Wir können es auch anders übersetzen. Dann ist der Unterschied zwischen einem Bundesland, das jetzt im Moment 200 auf 100.000 hat, und einem Bundesland, das schon bei 100 auf 100.000 ist, nur eine Woche länger Lockdown. Wenn man in der jetzigen Hochinzidenz-Zeit entlang dieser Linien denkt, dann wird es auch klarer, wo die Ziele liegen. Das Ziel sollte eigentlich in so einem Lockdown aus wissenschaftlicher Sicht da liegen, dass man so etwas wie einen R-Wert von 0,7 erreichen will. In einer gewissen Region, in der man das überblicken kann. Sprechen wir ruhig mal von einem Landkreis. Wir wollen hier bei uns im Landkreis auf R gleich 0,7 kommen. Jetzt kann man sich überlegen, was man dafür an Maßnahmen macht. Das kann der Landrat jeweils in der eigenen Region mit entsprechenden Interessenvertretern sondieren, besprechen und Beschlüsse fassen. Dann kann man das beobachten. In der ersten Woche passiert sicher nichts. In der zweiten Woche kann man auf die erste Woche zurückblicken. In der dritten Woche kann man schon auf die ersten zwei Wochen zurückblicken. Es ist realistisch, dass man schon nach so einer Zeit feststellen kann, wir sind schon bei R gleich 0,7. Wenn man jetzt die Inzidenz, die man gleichzeitig ja auch aus den Statistiken bekommt, sich anschaut, dann kann man sich schon ganz gut ausrechnen, wie lange das dauern wird bis man auf einem gewünschten R-Wert ist. Also beispielsweise 25 oder zehn oder sieben oder irgendwas, was man festlegt. Das ist glaube ich interessant."
"Menschen, Maßnahmen, Mutationen - Skript herunterladen",https://www.ndr.de/nachrichten/info/coronaskript262.pdf,72,Korinna Hennig,Korinna Hennig,"Inzidenzwert meinten Sie an der Stelle, 25 oder zehn, weil Sie R-Wert gerade sagten."
"Menschen, Maßnahmen, Mutationen - Skript herunterladen",https://www.ndr.de/nachrichten/info/coronaskript262.pdf,72,Korinna Hennig,Christian Drosten,"Oh, Entschuldigung. Nein, das war der Inzidenzwert. Und das ist, interessant, um sich mal eine Vorstellung von dieser Zeitperspektive zu machen. Es ist auch von der Argumentationsweise besser, als zu sagen: Wir müssen einfach auf diesen Wert kommen. Aber wir erklären jetzt nicht genau, wie es dahingeht. Auf dem Weg dahin streiten wir uns über jede Menge Notwendigkeiten und Nicht-Notwendigkeiten und machen uns Vorwürfe, dass der eine von dem keine Ahnung hat und der andere von dem anderen."
"Menschen, Maßnahmen, Mutationen - Skript herunterladen",https://www.ndr.de/nachrichten/info/coronaskript262.pdf,72,Korinna Hennig,Korinna Hennig,"Das heißt, hilfreich könnte auch immer sein, während wir auf dem Weg dahin sind, also wenn wir in einem wirklichen Lockdown sind, das mit Kommunikation zu begleiten und immer wieder zu sagen: Da stehen wir und da können wir wahrscheinlich sehr schnell hinkommen."
"Menschen, Maßnahmen, Mutationen - Skript herunterladen",https://www.ndr.de/nachrichten/info/coronaskript262.pdf,72,Korinna Hennig,Christian Drosten,"Richtig. Also ich glaube, das ist auch das Entscheidende an dem Erfolg dieser Zero-Covid-Strategie in bestimmten Ländern wie Australien und so weiter, die das geschafft haben. Die haben das unter anderem auch geschafft, dass sie dieses Begleiten aus der Kleinteiligkeit heraus, also die Eigenverantwortlichkeit von Regionen zum Beispiel sehr stark betont haben. Also nach dem Motto, wenn unser Landkreis es geschafft hat, auf Null zu kommen, dann kann man nach einer kurzen Sicherheitszeit, wo man sich auch wirklich noch mal vergewissert… Also wenn man jetzt noch eine Woche länger wartet, ist auch noch nichts dazu gekommen, wir haben keine versteckten Infektionen übersehen, dann kann man tatsächlich komplett lockern. Da kann man wirklich sagen: Jetzt sind wir im Nullbereich. Das wird jetzt nicht aufflackern. Hier ist kein Funke mehr auf unsere Wiese geflogen und wir können jetzt alles öffnen. Wir können normal leben. Und der Nachbarlandkreis hat das vielleicht auch erreicht. Dadurch entstehen diese Green-Zones, also die grünen Zonen, die da in dieser Strategie eine Rolle spielen, die sich dann auch ausweiten können im Land. Daraus entstehen ganze Regionen, in denen keine Lockdown-Maßnahmen mehr notwendig sind. Ob das jetzt in Deutschland erreichbar ist oder nicht, steht auf einem anderen Blatt. Wir können vielleicht gleich noch mal darüber reden, was da die entscheidenden Überlegungen sind. Aber ich glaube, wichtig ist, dass man sich klarmacht: Egal, ob man jetzt einen Anhänger dieses Ziels ist, eine Null-Inzidenz zu erreichen, oder ob man sagt, wir wollen vor allem, dass die Gesundheitsämter wieder aktionsfähig werden und wir müssen nicht auf Null kommen, sondern einfach nur auf eine gewisse niedrige Inzidenz, der Weg dahin ist derselbe, ist absolut derselbe. Man kann es nicht besser machen, als sehr stark zu bremsen und dann mit gezogener Bremse auch eine gewisse Zeit lang durchzuhalten. Das Entscheidende ist dann, dass möglichst viele Personen in der Gesellschaft verstehen müssen, warum man das macht und wie die Mechanismen dahin sind."
"Menschen, Maßnahmen, Mutationen - Skript herunterladen",https://www.ndr.de/nachrichten/info/coronaskript262.pdf,72,Korinna Hennig,Korinna Hennig,"Wir können direkt darüber reden, was die Bedingungen dafür sind. Sie hatten jetzt schon Australien und Neuseeland als Beispiel genannt. Das ist aber natürlich was anderes, wenn man eine Insellage hat und nicht wie Deutschland von sehr vielen Grenzen umgeben ist. Dann gibt es zwei Varianten, entweder wird das wirklich europäisch gedacht und funktioniert überall ganz gut. Oder wir müssen dann doch wieder gucken, ob man sich zumindest phasenweise abgrenzt. Denn wenn in einem Nachbarland die Inzidenz sehr, sehr hoch ist und jetzt vor dem Hintergrund der Debatte um die Mutanten zum Beispiel wird es sehr schwierig, so eine grüne Zone, dann auch grün zu behalten. NULL-COVID-STRATEGIE Christian Drosten Es ist einfach so: So lange man noch eine hohe Inzidenz hat und gerade anfängt zu bremsen, ist das relativ egal. Da hat man im eigenen Land noch viel mehr Fälle, als man jemals von außen reinschleppen kann. Wenn man aber schon weiter ist mit diesem Weg, also wenn man schon die Bremse ein paar Wochen gehalten hat, dann entscheidet tatsächlich, was von außen eingetragen wird. Und das muss man dann schließen. Das heißt, da haben wir ein großes Problem. Da geht es um eine Regionalreisetätigkeit, die dann unterbunden werden muss. Es geht dann irgendwann auch um eine Reisetätigkeit über die deutschen Außengrenzen hinweg. Und weil das alles schwer zu bewerkstelligen ist, ist tatsächlich auch eine Argumentation, dass man das eigentlich europaweit machen müsste, dass Deutschland vorangehen könnte. Also beispielsweise, wenn Deutschland sich für so etwas entscheiden würde, dann würden Nachbarländer sehen, das machen die jetzt ganz konsequent, interessant. Aber Moment mal, dann sind die demnächst eine grüne Zone mitten in Europa. Da wollen wir dann aber auch dazugehören. Dadurch entstehen dann möglicherweise sogar solche Reiseund Handelsgebiete, in denen uneingeschränkt gewirtschaftet werden kann. Das ist also eigentlich der große Nutzen aus der ganzen Idee. Dass man von innen heraus, also nicht von außen, von oben vorgegeben sagt: Lockdown ohne große Erklärungen, sondern dass man eher sagt, von innen aus den Regionen heraus kann sich so eine Zone ausdehnen und es liegt in der Verantwortung dieser jeweiligen Regionen. Das ist eines der wichtigen Prinzipien hinter dieser Null-Covid-Strategie. Dieses Prinzip ist wahrscheinlich viel wichtiger als die Zahl selbst, die man da vor sich hat. Denn auch diejenigen, die es durchaus gibt, also es gibt sehr gute Praktiker und Wissenschaftler, die sagen auch: Null-Covid-Strategie ist in Deutschland nicht erreichbar, ist in Europa im Winter nicht erreichbar, aber auch die werden natürlich zustimmen, dass selbst ohne dieses strikte Ziel von Null dennoch der Weg dahin derselbe ist. Auch die Motivation, das zu erreichen, sich besser gestaltet und die Motivationslage sich vielleicht auch umgekehrt, wenn man daraus so einen regionalen Wettbewerb macht."
"Menschen, Maßnahmen, Mutationen - Skript herunterladen",https://www.ndr.de/nachrichten/info/coronaskript262.pdf,72,Korinna Hennig,Korinna Hennig,"Herr Drosten, wir haben über politische Vorgaben jetzt gesprochen. Ich habe eben die Mutanten schon angesprochen. Unser großes virologisches Thema dieser Tage und Wochen. Da spielt auch die Debatte um Sequenzierung eine Rolle. Wir hatten es im Podcast schon mal erwähnt, Dänemark und England sind da schon länger ganz weit vorn. Und die Gesellschaft für Virologie hat schon vor Monaten angemahnt, wir müssen da eigentlich mehr tun, um der Evolution des Virus im Sinne der Pandemie-Kontrolle auf der Spur zu bleiben. Gesundheitsminister Jens Spahn will jetzt, dass nicht nur das Robert Koch-Institut und Sie an der Charité als Konsiliarlabor für Coronaviren verstärkt sequenzieren, sondern auch andere Labore verpflichtet werden. Da gab es diese Zielmarke von fünf Prozent aller positiven Tests insgesamt, bei denen das Erbgut untersucht werden soll. Kann man das so verordnen? Ist das realistisch? Sind die Strukturen dafür schon da?"
"Menschen, Maßnahmen, Mutationen - Skript herunterladen",https://www.ndr.de/nachrichten/info/coronaskript262.pdf,72,Korinna Hennig,Christian Drosten,"Also es ist nicht so, dass eine Pflicht besteht. Es ist so, dass von den positiven Proben, die im Labor gefunden werden, eine Nachsequenzierung von fünf Prozent finanziert wird. Das steht in der Verordnung drin. Wenn die Inzidenz weiter fällt, dann will man natürlich trotzdem immer noch eine gute Sequenzabdeckung halten, dann steigt dieser Wert auf zehn Prozent. Das ist das Prinzip dieser neuen Vorschrift. Daran sehen Sie, es gibt nicht diese Verpflichtung. Es gibt aber durchaus eine Motivation, nämlich eine finanzielle Motivation für die größeren Laborverbände im niedergelassenen Bereich. Die werden damit auch ein bisschen Geld verdienen, nicht viel. Es ist jetzt nicht so, dass man daran reich wird. Aber die werden das machen, weil sie ein bisschen daran verdienen, weil sie auch interessiert sind daran, weil es ihnen auch hilft, die Sequenziertechnik allgemein noch weiter vorwärtszubringen und auch einfach, weil sie kooperativ sind, muss man sagen. Also gerade die laborbasierte Surveillance, die uns über die nackten Inzidenzdaten hinaus einen guten Einblick in die Tätigkeit der Epidemie gibt, die basiert auf freiwilligen Meldungen, die werden freiwillig dem RKI weitergegeben. Das ist jetzt keine Meldepflicht. Da kann man sich schon auf ein gutes Kooperationsverhältnis verlassen."
"Menschen, Maßnahmen, Mutationen - Skript herunterladen",https://www.ndr.de/nachrichten/info/coronaskript262.pdf,72,Korinna Hennig,Korinna Hennig,"Das sind dann aber pro Woche schon ein paar tausend Proben. Wenn man sich zum Beispiel die erste Kalenderwoche anguckt, da hat der Verband der akkreditierten Labore in der Medizin offenbar mehr als eine Million Tests ausgewertet. Nur die positiven müssen dann natürlich sequenziert werden. Ist das denn aber auch machbar? Abgesehen von dem Anreiz."
"Menschen, Maßnahmen, Mutationen - Skript herunterladen",https://www.ndr.de/nachrichten/info/coronaskript262.pdf,72,Korinna Hennig,Christian Drosten,"Wir haben im Moment in den Statistiken so um die 150.000 positive Proben pro Woche. Das heißt, es würde da also darum gehen, 7500 Sequenzen pro Woche zu machen. Das verteilt sich auf viele Labore. Das ist möglich. Das Ganze soll dann gemeinsam auch mit den dazugehörigen Meldedaten am Robert Koch-Institut landen und dort ausgewertet werden."
"Menschen, Maßnahmen, Mutationen - Skript herunterladen",https://www.ndr.de/nachrichten/info/coronaskript262.pdf,72,Korinna Hennig,Korinna Hennig,"Was macht das Sequenzieren eigentlich so teuer? Können Sie das dem Laien erklären, was da genau passiert?"
